date,time,cycle,session,regime,dir,rsi,beta1,sc100,sl,tp,risk,pnl,result,cycle_eq,month
2016-01-06,07:00,1,Asian,REVERTING,SHORT,66.0,7.81,0.606,1.06,8.47,500.0,-500.0,LOSS,49500.0,2016-01
2016-01-06,14:00,1,London,REVERTING,SHORT,66.8,16.83,0.606,1.7,13.58,500.0,-500.0,LOSS,49000.0,2016-01
2016-01-06,20:30,1,NY_Open,REVERTING,SHORT,70.1,7.18,0.626,0.99,7.92,500.0,-500.0,LOSS,48500.0,2016-01
2016-01-07,14:00,1,London,REVERTING,SHORT,66.1,7.6,0.566,1.52,12.17,500.0,4000.0,WIN,52500.0,2016-01
2016-01-12,07:30,1,Asian,REVERTING,LONG,30.3,-5.32,0.566,1.12,8.96,500.0,-500.0,LOSS,52000.0,2016-01
2016-01-14,14:00,1,London,REVERTING,LONG,32.2,-29.5,0.657,1.55,12.39,500.0,4000.0,WIN,56000.0,2016-01
2016-01-20,07:00,2,Asian,REVERTING,SHORT,66.3,11.58,0.495,0.95,7.63,500.0,-500.0,LOSS,49500.0,2016-01
2016-01-20,14:00,2,London,REVERTING,SHORT,67.6,5.67,0.505,1.71,13.68,500.0,-500.0,LOSS,49000.0,2016-01
2016-01-26,14:00,2,London,REVERTING,SHORT,74.4,9.66,0.455,1.21,9.66,500.0,-500.0,LOSS,48500.0,2016-01
2016-01-27,14:30,2,London,REVERTING,SHORT,71.0,16.53,0.404,1.34,10.74,500.0,4000.0,WIN,52500.0,2016-01
2016-02-01,14:00,2,London,REVERTING,SHORT,66.2,4.13,0.535,1.04,8.31,500.0,-500.0,LOSS,52000.0,2016-02
2016-02-04,14:00,2,London,REVERTING,SHORT,68.0,7.16,0.394,1.6,12.77,500.0,-500.0,LOSS,51500.0,2016-02
2016-02-08,07:00,2,Asian,REVERTING,SHORT,68.3,14.81,0.525,1.19,9.5,500.0,-500.0,LOSS,51000.0,2016-02
2016-02-08,14:00,2,London,REVERTING,SHORT,69.8,12.45,0.535,2.51,20.08,500.0,-500.0,LOSS,50500.0,2016-02
2016-02-11,07:00,2,Asian,REVERTING,SHORT,77.9,28.37,0.485,2.68,21.45,500.0,-500.0,LOSS,50000.0,2016-02
2016-02-15,07:00,2,Asian,REVERTING,LONG,28.8,-12.56,0.636,1.38,11.07,500.0,-500.0,LOSS,49500.0,2016-02
2016-02-18,14:00,2,London,REVERTING,SHORT,77.5,39.39,0.475,2.1,16.77,500.0,-500.0,LOSS,49000.0,2016-02
2016-02-22,07:00,2,Asian,REVERTING,LONG,31.6,-30.36,0.525,1.57,12.59,500.0,4000.0,WIN,53000.0,2016-02
2016-02-24,07:00,2,Asian,REVERTING,SHORT,65.5,7.29,0.525,1.57,12.53,500.0,-500.0,LOSS,52500.0,2016-02
2016-02-29,20:30,2,NY_Open,REVERTING,SHORT,69.6,8.04,0.414,1.52,12.19,500.0,4000.0,WIN,56500.0,2016-02
2016-03-03,14:00,3,London,REVERTING,SHORT,72.0,22.01,0.586,1.99,15.92,500.0,-500.0,LOSS,49500.0,2016-03
2016-03-08,20:30,3,NY_Open,REVERTING,LONG,34.6,-24.57,0.495,1.57,12.59,500.0,-500.0,LOSS,49000.0,2016-03
2016-03-10,07:30,3,Asian,REVERTING,LONG,33.3,-10.77,0.444,1.47,11.77,500.0,4000.0,WIN,53000.0,2016-03
2016-03-14,14:00,3,London,REVERTING,LONG,30.9,-20.09,0.596,2.15,17.22,500.0,-500.0,LOSS,52500.0,2016-03
2016-03-14,20:30,3,NY_Open,REVERTING,LONG,34.9,-20.34,0.566,1.4,11.2,500.0,-500.0,LOSS,52000.0,2016-03
2016-03-16,14:00,3,London,REVERTING,SHORT,75.3,38.35,0.535,2.09,16.71,500.0,-500.0,LOSS,51500.0,2016-03
2016-03-16,20:30,3,NY_Open,REVERTING,SHORT,74.0,32.18,0.505,2.2,17.62,500.0,-500.0,LOSS,51000.0,2016-03
2016-03-17,07:30,3,Asian,REVERTING,SHORT,70.1,1.39,0.505,1.53,12.24,500.0,4000.0,WIN,55000.0,2016-03
2016-03-18,07:30,3,Asian,REVERTING,LONG,32.9,-13.9,0.515,1.18,9.41,500.0,-500.0,LOSS,54500.0,2016-03
2016-03-23,07:00,3,Asian,REVERTING,LONG,34.1,-2.86,0.525,1.01,8.11,500.0,-500.0,LOSS,54000.0,2016-03
2016-03-29,14:00,3,London,REVERTING,SHORT,73.0,24.05,0.626,2.09,16.69,500.0,-500.0,LOSS,53500.0,2016-03
2016-03-29,20:30,3,NY_Open,REVERTING,SHORT,65.4,17.81,0.636,1.27,10.17,500.0,4000.0,WIN,57500.0,2016-03
2016-04-05,07:00,4,Asian,REVERTING,SHORT,66.3,8.92,0.515,1.12,8.95,500.0,4000.0,WIN,54000.0,2016-04
