date,time,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward_usd,pnl,result,equity,daily_pnl
2025-05-06,14:00,SHORT,75.8,3415.34,6.48,51.82,25.0,200.0,-25.0,LOSS,49975.0,-25.0
2025-05-20,15:00,SHORT,70.9,3294.0,6.4,51.21,25.0,200.0,-25.0,LOSS,49950.0,-25.0
2025-06-02,14:00,SHORT,72.5,3379.02,5.91,47.28,25.0,200.0,200.0,WIN,50150.0,200.0
2025-07-21,14:00,SHORT,71.3,3395.28,3.81,30.5,25.0,200.0,-25.0,LOSS,50125.0,-25.0
2025-07-22,14:00,SHORT,73.8,3429.46,3.96,31.65,25.0,200.0,200.0,WIN,50325.0,200.0
2025-07-30,15:00,LONG,28.6,3269.2,5.33,42.63,25.0,200.0,200.0,WIN,50525.0,200.0
2025-08-01,15:00,SHORT,72.5,3356.96,5.76,46.11,25.0,200.0,-25.0,LOSS,50500.0,-25.0
2025-08-29,15:00,SHORT,73.1,3452.5,4.01,32.09,25.0,200.0,-25.0,LOSS,50475.0,-25.0
2025-09-02,14:00,SHORT,72.8,3528.19,6.16,49.3,25.0,200.0,-25.0,LOSS,50450.0,-25.0
2025-09-03,14:00,SHORT,72.4,3570.12,4.9,39.23,25.0,200.0,-25.0,LOSS,50425.0,-25.0
2025-09-08,14:00,SHORT,71.2,3635.9,5.08,40.62,25.0,200.0,-25.0,LOSS,50400.0,-25.0
2025-09-22,14:00,SHORT,77.1,3747.4,4.93,39.44,25.0,200.0,-25.0,LOSS,50375.0,-25.0
2025-10-06,15:00,SHORT,70.1,3959.24,6.72,53.74,25.0,200.0,-25.0,LOSS,50350.0,-25.0
2025-10-13,14:00,SHORT,70.2,4101.58,6.76,54.12,25.0,200.0,-25.0,LOSS,50325.0,-25.0
2025-10-16,14:00,SHORT,72.1,4290.54,9.67,77.34,25.0,200.0,-25.0,LOSS,50300.0,-25.0
2025-10-21,14:00,LONG,27.4,4114.72,20.32,162.56,25.0,200.0,-25.0,LOSS,50275.0,-25.0
2025-11-10,14:00,SHORT,75.7,4113.02,6.18,49.43,25.0,200.0,-25.0,LOSS,50250.0,-25.0
2025-12-22,14:00,SHORT,72.1,4433.4,5.9,47.24,25.0,200.0,-25.0,LOSS,50225.0,-25.0
2025-12-29,14:00,LONG,29.3,4336.66,16.4,131.21,25.0,200.0,-25.0,LOSS,50200.0,-25.0
2026-01-20,14:00,SHORT,73.1,4760.56,8.25,66.0,25.0,200.0,-25.0,LOSS,50175.0,-25.0
2026-01-28,14:00,SHORT,70.5,5325.1,17.69,141.53,25.0,200.0,-25.0,LOSS,50150.0,-25.0
2026-02-23,14:00,SHORT,70.1,5215.3,11.76,94.08,25.0,200.0,-25.0,LOSS,50125.0,-25.0
2026-03-18,14:00,LONG,26.2,4842.94,16.05,128.42,25.0,200.0,-25.0,LOSS,50100.0,-25.0
