date,time,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward_usd,pnl,result,equity,daily_pnl
2025-04-22,14:41,LONG,29.6,3381.62,5.61,4.67,25.0,20.83,-25.0,LOSS,49975.0,-25.0
2025-04-22,14:52,LONG,24.9,3374.4,6.72,5.6,25.0,20.83,20.83,WIN,49995.83,-4.17
2025-04-28,14:24,SHORT,76.7,3345.32,4.06,3.39,25.0,20.83,-25.0,LOSS,49970.83,-25.0
2025-04-28,14:31,SHORT,72.3,3348.2,5.53,4.61,25.0,20.83,20.83,WIN,49991.67,-4.17
2025-05-01,14:36,SHORT,70.8,3224.0,4.59,3.83,25.0,20.83,-25.0,LOSS,49966.67,-25.0
2025-05-12,14:51,SHORT,70.1,3228.08,2.57,2.14,25.0,20.83,-25.0,LOSS,49941.67,-25.0
2025-05-14,14:07,LONG,25.4,3175.72,3.1,2.58,25.0,20.83,20.83,WIN,49962.5,20.83
2025-06-02,14:45,SHORT,70.0,3377.16,2.86,2.38,25.0,20.83,20.83,WIN,49983.33,20.83
2025-06-04,14:43,LONG,27.7,3375.6,2.12,1.77,25.0,20.83,-25.0,LOSS,49958.33,-25.0
2025-06-06,14:11,LONG,28.0,3317.4,3.34,2.79,25.0,20.83,-25.0,LOSS,49933.33,-25.0
2025-06-06,14:14,LONG,26.9,3315.18,3.93,3.28,25.0,20.83,20.83,WIN,49954.17,-4.17
2025-06-10,14:56,LONG,29.0,3319.74,1.91,1.59,25.0,20.83,20.83,WIN,49975.0,20.83
2025-06-11,14:04,SHORT,71.6,3332.8,4.53,3.77,25.0,20.83,-25.0,LOSS,49950.0,-25.0
2025-06-11,14:08,SHORT,77.7,3337.52,6.2,5.16,25.0,20.83,-25.0,LOSS,49925.0,-50.0
2025-06-11,14:25,SHORT,70.9,3342.94,5.59,4.66,25.0,20.83,20.83,WIN,49945.83,-29.17
2025-06-17,14:54,LONG,28.4,3383.7,3.51,2.93,25.0,20.83,20.83,WIN,49966.67,20.83
2025-06-18,15:00,LONG,27.7,3375.78,5.88,4.9,25.0,20.83,-25.0,LOSS,49941.67,-25.0
2025-06-20,14:18,LONG,28.6,3364.7,1.86,1.55,25.0,20.83,20.83,WIN,49962.5,20.83
2025-07-02,14:58,SHORT,75.0,3354.96,1.57,1.31,25.0,20.83,20.83,WIN,49983.33,20.83
2025-07-07,14:44,SHORT,70.6,3334.65,2.14,1.79,25.0,20.83,20.83,WIN,50004.17,20.83
2025-07-10,14:53,SHORT,71.2,3320.84,1.85,1.54,25.0,20.83,-25.0,LOSS,49979.17,-25.0
2025-07-11,14:04,SHORT,70.0,3355.04,1.71,1.43,25.0,20.83,-25.0,LOSS,49954.17,-25.0
2025-07-11,14:18,SHORT,71.8,3357.06,2.02,1.69,25.0,20.83,20.83,WIN,49975.0,-4.17
2025-07-15,14:46,SHORT,71.7,3331.28,1.77,1.47,25.0,20.83,20.83,WIN,49995.83,20.83
2025-07-16,14:57,LONG,28.3,3349.48,2.25,1.87,25.0,20.83,-25.0,LOSS,49970.83,-25.0
2025-07-24,14:34,SHORT,70.3,3371.7,1.63,1.36,25.0,20.83,20.83,WIN,49991.67,20.83
2025-07-28,14:35,SHORT,70.8,3314.28,1.23,1.03,25.0,20.83,20.83,WIN,50012.5,20.83
2025-07-29,14:18,SHORT,70.6,3330.36,1.74,1.45,25.0,20.83,20.83,WIN,50033.33,20.83
2025-07-29,14:53,LONG,27.7,3325.35,1.95,1.63,25.0,20.83,-25.0,LOSS,50008.33,-4.17
2025-08-04,14:21,SHORT,70.5,3376.54,1.52,1.27,25.0,20.83,20.83,WIN,50029.17,20.83
2025-08-06,14:13,LONG,29.9,3370.66,2.24,1.86,25.0,20.83,20.83,WIN,50050.0,20.83
2025-08-08,14:00,LONG,29.3,3385.03,10.7,8.91,25.0,20.83,20.83,WIN,50070.83,20.83
2025-08-13,14:26,LONG,29.8,3350.08,1.43,1.19,25.0,20.83,20.83,WIN,50091.67,20.83
2025-08-22,14:23,LONG,29.2,3371.08,1.79,1.49,25.0,20.83,20.83,WIN,50112.5,20.83
2025-08-27,14:08,LONG,30.0,3392.56,1.7,1.42,25.0,20.83,20.83,WIN,50133.33,20.83
2025-09-03,14:13,SHORT,70.1,3577.96,2.21,1.84,25.0,20.83,20.83,WIN,50154.17,20.83
2025-09-03,14:32,LONG,24.6,3569.48,2.98,2.48,25.0,20.83,-25.0,LOSS,50129.17,-4.17
2025-09-03,14:38,LONG,19.6,3566.06,5.49,4.58,25.0,20.83,20.83,WIN,50150.0,16.67
2025-09-10,14:22,SHORT,70.9,3649.25,1.33,1.11,25.0,20.83,20.83,WIN,50170.83,20.83
2025-09-17,14:08,SHORT,72.1,3702.19,21.92,18.27,25.0,20.83,20.83,WIN,50191.67,20.83
2025-09-18,14:01,LONG,28.1,3641.15,1.7,1.41,25.0,20.83,20.83,WIN,50212.5,20.83
